SE 27:1	C1C(O)CC2=CCC3C4CCC(C(C)CCCC(C)C)C4(C)CCC3C2(C)C1
GM3	C(COC1OC(CO)C(OC2OC(CO)C(O)C(O[C@]3(O[C@@]([H])(C(O)C(O)CO)C(NC(=O)C)C(O)C3)C(O)=O)C2O)C(O)C1O)([H])(N)
BMP	C(CO)(O)COP(=O)(O)OCC(CO)(O)
CL	C(CO)(O)COP(=O)(O)OCC(O)COP(=O)(O)OCC(CO)(O)
DLCL	C(CO)(O)COP(=O)(O)OCC(O)COP(=O)(O)OCC(CO)(O)
DMPE	C(CO)(O)COP(=O)(O)OCCN(C)(C)
LPA	C(CO)(O)COP(=O)(O)O
LPA-O	C(CO)(O)COP(=O)(O)O
LPA-p	C(CO)(O)COP(=O)(O)O
LPC	C(CO)(O)COP(=O)([O-])OCC[N+](C)(C)C
LPC-O	C(CO)(O)COP(=O)([O-])OCC[N+](C)(C)C
LPC-p	C(CO)(O)COP(=O)([O-])OCC[N+](C)(C)C
LPE	C(CO)(O)COP(=O)(O)OCCN
LPE-O	C(CO)(O)COP(=O)(O)OCCN
LPE-p	C(CO)(O)COP(=O)(O)OCCN
LPG	C(CO)(O)COP(=O)(O)OCC(O)CO
LPI	C(CO)(O)COP(=O)(O)OC1C(O)C(O)C(O)C(O)C1O
LPS	C(CO)(O)COP(=O)(O)OCC(N)C(=O)O
LCL	C(CO)(O)COP(=O)(O)OCC(O)COP(=O)(O)OCC(CO)(O)
MMPE	C(CO)(O)COP(=O)(O)OCCN(C)
PA	C(CO)(O)COP(=O)(O)O
PA-O	C(CO)(O)COP(=O)(O)O
PA-p	C(CO)(O)COP(=O)(O)O
PC	C(CO)(O)COP(=O)([O-])OCC[N+](C)(C)C
PC-O	C(CO)(O)COP(=O)([O-])OCC[N+](C)(C)C
PC-p	C(CO)(O)COP(=O)([O-])OCC[N+](C)(C)C
PE	C(CO)(O)COP(=O)(O)OCCN
PE-O	C(CO)(O)COP(=O)(O)OCCN
PE-p	C(CO)(O)COP(=O)(O)OCCN
PEt	C(CO)(O)COP(=O)(O)OCC
PG	C(CO)(O)COP(=O)(O)OCC(O)CO
PG-p	C(CO)(O)COP(=O)(O)OCC(O)CO
PG-O	C(CO)(O)COP(=O)(O)OCC(O)CO
PI	C(CO)(O)COP(=O)(O)OC1C(O)C(O)C(O)C(O)C1O
PI-p	C(CO)(O)COP(=O)(O)OC1C(O)C(O)C(O)C(O)C1O
PI-O	C(CO)(O)COP(=O)(O)OC1C(O)C(O)C(O)C(O)C1O
PIP	C(CO)(O)COP(=O)(O)OC1C(O)C(O)C(OP(=O)(O)O)C(O)C1O
PIP2	C(CO)(O)COP(=O)(O)OC1C(O)C(O)C(OP(=O)(O)O)C(OP(=O)(O)O)C1O
PIP3	C(CO)(O)COP(=O)(O)OC1C(O)C(OP(=O)(O)O)C(OP(=O)(O)O)C(OP(=O)(O)O)C1O
PS	C(CO)(O)COP(=O)(O)OCC(N)C(=O)O
PS-p	C(CO)(O)COP(=O)(O)OCC(N)C(=O)O
PS-O	C(CO)(O)COP(=O)(O)OCC(N)C(=O)O
DG	C(CO)(O)CO
DGDG	C(CO)(O)COC1C(O)C(O)C(O)C(O1)COC1C(O)C(O)C(O)C(O1)CO
MG	C(CO)(O)CO
MGDG	C(CO)(O)COC1C(O)C(O)C(O)C(O1)CO
SQDG	C(CO)(N)COC(O1)C(O)C(O)C(O)C1CS(=O)(O)=O
TG	C(CO)(O)CO
Cer	C(N)CO
CerP	C(N)COP(=O)(O)O
CerPE	C(N)COP(=O)(OCCN)O
EPC	C(N)COP(=O)(O)OCCN
HexCer	C(N)COC1C(O)C(O)C(C(O1)CO)(O)
Hex2Cer	C(N)COC1C(O)C(O)C(C(O1)CO)(O)C2C(O)C(O)C(C(O2)CO)(O)
IPC	C(N)COP(=O)(O)OC1C(O)C(O)C(O)C(O)C1O
SPB	C(N)CO
SPBP	C(N)COP(=O)(O)O
LHexCer	C(N)COC1C(O)C(O)C(C(O1)CO)(O)
LSM	C(N)COP(=O)(O)OCCN(C)(C)C
MIPC	C(N)COP(=O)(O)OC1C(O)C(O)C(O)C(O)C1OC1C(O)C(O)C(O)C(O1)CO
MIP2C	C(N)COP(=O)(O)OC1C(O)C(O)C(O)C(O)C1OC1C(O)C(O)C(O)C(O1)COP(=O)(O)OC1C(O)C(O)C(O)C(O)C1O
SHexCer	C(N)COC1C(O)C(OS(=O)(=O)(O))C(O)C(O1)CO
SM	C(N)COP(=O)(O)OCCN(C)(C)C
