Species,0086SE_IS01,0086SE_0001,0086SE_0002,0086SE_0003,0086SE_0004,0086SE_0005,0086SE_0006,0086SE_0007,0086SE_0009,0086SE_0010,0086SE_0011,0086SE_0013,0086SE_0014,0086SE_0015,0086SE_0016,0086SE_0017,0086SE_0018,0086SE_0019,0086SE_0020,0086SE_0021,0086SE_0022,0086SE_0024,0086SE_0025,0086SE_0026,0086SE_0027,0086SE_0028,0086SE_0029,0086SE_0030,0086SE_0031,0086SE_0032,0086SE_0033
PC 30:0,0,7.486,4.911,4.338,1.599,1.27,2.627,3.66,3.613,1.665,5.539,0.372,4.811,5.415,4.98,2.389,2.782,7.759,7.169,8.595,5.846,3.299,4.446,4.773,1.724,1.2,1.794,0,0,0,3.646
PC 30:1,0,1.925,3.928,3.492,2.268,0.695,1.065,2.606,2.4,2.72,2.637,2.888,2.844,2.617,3.08,3.288,2.401,0,3.081,4.962,2.234,1.621,2.14,1.863,3.052,1.262,2.416,0.653,0,0.4,0
PC 32:0,0,10.045,12.083,10.239,18.667,12.531,11.926,9.93,8.927,10.042,17.546,11.697,13.657,14.672,14.303,10.46,13.332,20.91,19.721,25.448,14.658,9.769,8.704,9.686,11.573,11.241,12.367,7.561,12.923,13.239,12.089
PC 32:1,0,7.881,8.969,7.053,14.224,9.325,11.255,8.75,8.955,13.167,11.82,5.645,23.567,38.118,18.758,18.873,22.358,46.751,76.619,111.113,50.976,20.037,21.554,19.659,8.031,7.929,8.484,5.798,9.257,8.07,7.219
PC 32:2,0,3.052,2.564,1.413,1.741,1.308,1.14,3.145,3.343,2.921,2.155,0.996,3.249,3.132,2.536,2.898,3.052,2.949,4.099,6.877,3.949,1.638,2.005,2.499,1.3,1.267,1.063,0.323,0.968,1.589,0.86
PC 34:0,0,2.833,4.7,0,0,0,0,2.976,0,3.157,0,0,0,0,0,3.658,0,0,0,0,0,0,0,0,3.075,2.143,2.981,0,0,3.206,0
PC 34:1,0,116.274,214.94,151.57,239.754,144.453,134.057,132.01,126.098,190.659,273.21,159.458,219.723,248.383,204.773,171.201,220.634,349.229,480.114,654.536,366.759,131.125,133.571,163.936,172.213,179.487,194.021,140.412,235.514,207.346,146.869
PC 34:2,0,219.971,436.618,380.413,367.138,189.667,169.666,301.839,287.364,350.333,433.815,208.304,318.617,259.83,247.752,254.175,247.725,344.508,289.816,388.006,317.473,154.004,140.707,189.325,252.944,268.164,266.354,159.26,271.294,376.199,304.347
PC 34:3,0,9.635,11.966,6.734,9.504,5.605,5.776,9.595,8.464,10.175,8.355,2.686,10.183,12.018,7.592,11.347,7.932,10.951,17.047,22.106,15.052,7.148,7.154,8.323,5.484,5.739,6.25,3.324,6.053,6.356,5.604
PC 34:4,0,1.141,1.132,0.667,0.43,0.309,0.298,1.144,1.192,1.1,0.734,0.148,1.05,0.977,0.721,0.865,1.319,2.025,2.175,3.108,1.64,0.625,0.57,0.421,0.4,0.3,0.62,0.408,0.483,0.399,0.313
PC 36:0,0,1.095,2.079,1.643,0,0,0,1.8,1.543,1.72,0.936,1.517,1.216,0,1.455,0,0.891,0,0.599,0,0.415,0,0,0,0,0.932,0,0.838,0,2.528,0
